product_name,categorization_name
Donut Burger,Food
Black Cherry Jelly Omelette,Food
Lemon Swirl Usul Cake,Food
Bean and Lentil Pasty,Food
Usuki Cupcakes,Food
Dark Faerie Apple,Food
Faerie Queen Burrito,Food
Ant Soup,Food
100 Jelly Recipes,Book
A Furry Tale,Book
A Plush Life,Book
Where's My Mommy,Book
Winter Usul Wear,Book
Zombie Legends,Book
Usuki Comic,Book
Zweetok Ice Breakers,Book
Acara Transmogrification Potion,Magic
Baby Uni Morphing Potion,Magic
Bloodberry Elixir,Magic
Brilliant Sun and Moon Potion,Magic
Chomby Staff,Magic
Evil Snowball Wand,Magic
Calculation Device,Space Battle
DZ-849 Implosion Device,Space Battle
Grundo Sword of Justice,Space Battle
Metallic Sun Staff,Space Battle
Virtublaster 5000,Space Battle
Utility Gloves,Space Battle
Glowing Battle Claw,Space Battle
Artistic Usuki Plushie,Toy
Blue Grundo Plushie,Toy
Cuddly Wocky Plushie,Toy
Grey Faerie Doll,Toy
Battle Faerie Action Figure,Toy
Bruce Yoyo,Toy
Darigan Aisha Action Figure,Toy
Flying Wagon,Toy
Wocky Warrior Armored Shoes,Clothes
Woollen Socks,Clothes
Ten Gallon Hat,Clothes
Round Sunglasses,Clothes
Balthazar T-shirt,Clothes
Yellow Kookith T-shirt,Clothes
Steel Tassle Scarf,Clothes
Usukicon Bow,Clothes
Asparagus Table,Furniture
Chocolate Drawers,Furniture
Faerie Door Mat,Furniture
Heart Cactus,Furniture
Iron Sofa,Furniture
Authentic Tyrannian Coffee,Drinks
Autumn Herbal Tea,Drinks
Black Tea,Drinks
Aqueena Tea,Drinks
Banango Bubble Tea,Drinks
Breakfast Tea,Drinks
Butterscotch Latte,Drinks
Celebratory Cup of Cocoa,Drinks
Chokato Bubble Tea,Drinks
Elegant Cup of Tea,Drinks
Flatfruit Tea,Drinks
Gulg Coffee,Drinks
Purplum Iced Tea,Drinks
Autumn Sunset Daisy,Gardening
Blue Fan Flowers,Gardening
Blazing Frooble Shrub,Gardening
Cherry Blossom Tree,Gardening
Cheese Birdhouse,Gardening
Chocolate Tree House,Gardening
