name,price,merchant_id,quantity,description,photo
Donut Burger,149.79,1,15,"The doughnut is sweet and the patty is salty, you will love it if you are into that kind of a thing.",https://i.imgur.com/btH03kX.gif
Black Cherry Jelly Omelette,81.44,2,22,This omelette looks awfully like it is made out of Black Cherry jelly!,https://i.imgur.com/akubarL.gif
Lemon Swirl Usul Cake,52.77,3,36,A beautiful cake baked specially for Usul Day in year four!,https://i.imgur.com/14VOYQN.gif
Bean and Lentil Pasty,73.05,4,17,"Fresh beans, full flavoured lentils and a generous dash of spices make this pasty a delicious vegetarian treat.",https://i.imgur.com/cI85CvS.gif
Usuki Cupcakes,191.26,1,39,Eating these is like visiting the beach without having to deal with the sand!,https://i.imgur.com/ZcphL9v.gif
Dark Faerie Apple,126.77,2,22,The dark faerie apple is often quite bitter and can have worms in it,https://i.imgur.com/ULZMjlr.gif
Faerie Queen Burrito,146.62,3,42,"This gourmet snack is fit for a queen, packed full of beans, vegetables and meat, all subtly enhanced with chervil.",https://i.imgur.com/Q47j4Wu.gif
Ant Soup,4.28,4,22,Its pretty self-explanatory.,https://i.imgur.com/ImvkIDn.gif
100 Jelly Recipes,89.72,1,18,*sings* One hundred pieces of jelly on the wall...,https://i.imgur.com/6i7gZZ5.gif
A Furry Tale,26.83,2,27,This book has a totally strokeable furry cover!,https://i.imgur.com/RWhpAYg.gif
A Plush Life,74.52,3,35,This is a tale of a Mynci that had everything and lost what mattered most.,https://i.imgur.com/ggswk0Q.gif
Where's My Mommy,174.87,4,39,A sad tale of one baby Acara that lost its way and wandered into a weird and wonderful adventure.,https://i.imgur.com/aQ7DABg.gif
Winter Usul Wear,61.95,1,34,The foremost guide on what every Usul should wear this winter.,https://i.imgur.com/IEb8Kwc.gif
Zombie Legends,57.23,2,37,Creepy tales of legendary zombies are all told in this book.,https://i.imgur.com/QAnSEY9.gif
Usuki Comic,132.14,3,47,Find out about all of the latest comics with this comic sampler that was ONLY given away in the Usukicon Y10 gift bags.,https://i.imgur.com/yLqQGiG.gif
Zweetok Ice Breakers,136.45,4,48,Learn how to start conversations with Xweetoks by reading this book of ice breakers.,https://i.imgur.com/7jiynvp.gif
Acara Transmogrification Potion,16.59,1,45,Maybe you shouldnt feed this to your Neopet...It doesnt look safe.,https://i.imgur.com/SgqT9f8.gif
Baby Uni Morphing Potion,104.36,2,26,Give this potion to your Neopet and they will transform into a Baby Uni!,https://i.imgur.com/smdDLuw.gif
Bloodberry Elixir,105.97,3,29,"Whatever you do dont spill this on your clothers, you will NEVER get the stain out! One Use Item.",https://i.imgur.com/nMq6zgI.gif
Brilliant Sun and Moon Potion,81.71,4,23,This dazzling potion is almost too pretty to drink!,https://i.imgur.com/XHdRoIW.gif
Chomby Staff,21.4,1,20,This staff was created for the most powerful Chomby Wizard. Beware of the Chomby that knows the powers that lie in it...,https://i.imgur.com/c3Bu2Jj.gif
Evil Snowball Wand,140.86,2,17,"An ancient treasure from the top of Terror Mountain, this snowball wand will create one magical snowball per round in the Battledome! Fragile.",https://i.imgur.com/yUM5LNA.gif
Calculation Device,93.87,3,10,This handy gadget tries to predict your opponents next move so you are always one step ahead.,https://i.imgur.com/fs3aFa4.gif
DZ-849 Implosion Device,26.73,4,12,This is a very high tech bomb!,https://i.imgur.com/6amkrBD.gif
